X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,Total Power
500.4677,278.6497,47.4062,417.3653,551.7083,401.1797,0,161.7773,368.1543,45.985,520.4714,566,219.715,45.0157,284.9714,202.886,26.0476,566,0,104.1045,0,335.7074,486.5247,566,566,258.2014,376.2201,477.4717,412.28,96.7684,90.1294,364.7503,94549.5866,84592.1988,99335.5046,98944.0386,106558.3642,95270.0791,85491.4365,83029.8436,91483.7433,93748.1139,99467.6415,95935.6597,84254.7876,93786.3095,94499.479,88941.7152,1489888.502
511.751,104.4383,566,380.4079,345.8587,0,90.5588,7.2899,566,566,566,313.0356,191.8169,200.6335,566,383.5991,566,135.7882,463.578,366.7474,447.0349,0,410.16,246.4883,0,208.0817,60.8637,566,48.4488,117.445,411.2962,566,93365.954,87177.9348,92796.2067,93302.0718,86885.5691,98117.0706,85523.9907,91309.1752,107598.5159,101897.2685,100876.0477,79350.0981,100060.2964,92733.9494,100646.9126,83394.8729,1495035.934
19.699,216.4378,355.296,67.8151,518.7256,72.1572,222.7933,223.9242,566,312.4474,511.7909,566,78.0924,226.1336,566,465.5424,0,566,447.2046,259.9073,566,320.6664,418.3566,351.0215,354.9378,566,391.7332,99.2301,0,137.3001,535.2882,566,94673.6571,79914.0696,87497.2497,97183.8129,82552.1357,85215.621,82243.3562,92083.6042,103182.5412,80688.8463,92306.419,106440.6778,102118.7041,99295.1266,96503.3818,77942.2947,1459841.498
0,0,243.342,0,566,0,198.4878,0,566,566,509.8984,285.704,144.3917,294.7953,399.9559,345.9918,380.3994,462.8946,566,566,0,0,234.3866,53.6411,546.4076,253.0758,0,53.9287,396.4652,0,0,10.9969,91653.0131,87877.8772,91913.3872,90373.6455,104290.2487,95057.3095,93021.4704,85602.1738,98370.5585,97148.3728,95775.0777,80723.593,95865.7812,88525.7698,94546.5417,85021.1027,1475765.923
446.6611,421.0366,493.1895,566,516.3773,566,566,474.817,566,0,299.7096,30.5458,0,170.8087,178.8432,187.1938,278.2215,0,551.9664,566,373.9421,313.9131,485.6295,433.9819,0,481.3123,0,566,0,6.0358,566,465.4973,96298.1717,100404.5528,83679.2669,92207.1053,92599.748,100063.6133,95091.533,89796.6317,106234.3463,86528.7448,97221.3296,80957.7402,95689.2702,95590.0073,85799.2132,88227.3054,1486388.58
398.0662,0,172.95,480.6902,566,566,257.4459,67.4326,5.4764,566,0,62.1571,143.9684,566,236.2575,341.5666,102.6265,484.4441,7.9433,0,320.2722,26.7175,566,540.0883,349.5919,213.1047,0,0,566,566,503.7899,116.725,96459.8888,88298.7327,96742.7627,100203.9478,96113.6931,103772.3175,88832.768,79480.0019,96221.418,98420.3172,87790.1305,91697.7289,79287.6048,98627.4586,96138.3138,85804.8939,1483891.978
113.7286,341.2415,418.0059,0,566,566,566,0,0,566,68.0914,463.0868,140.684,18.4887,220.1713,273.2086,566,0,270.9991,503.3479,0,89.0062,509.5509,566,287.7841,566,334.3373,54.4844,0,206.8418,396.798,566,85593.1906,97798.4061,100432.9867,88470.0383,106896.0821,99805.4635,100886.8656,81354.8114,88528.1338,94011.9386,87192.1176,92168.733,96673.033,98932.3657,93486.0155,90452.2884,1502682.47
0,0,0,557.9507,0,566,530.5327,566,461.614,495.1422,243.7463,515.1805,337.0039,149.3637,432.7603,375.4085,216.9741,566,424.6422,405.3143,323.5063,160.0276,0,566,566,420.6266,566,566,58.6311,255.0382,0,566,95101.7359,86156.4572,90658.64,101350.612,91423.8016,100807.4185,105613.6648,95084.2254,80495.503,90902.2819,81856.1863,83784.434,94287.5091,99164.9526,99725.2615,81533.213,1477945.897
369.2071,304.0515,566,164.3125,552.6091,557.8421,437.3143,395.9587,417.7882,0,0,198.0035,121.6725,169.035,225.884,12.7346,0,476.0819,0,503.4461,566,447.1827,53.9382,566,484.8547,0,566,566,566,0,362.2357,269.9263,99039.5217,87250.7669,106662.4286,84203.8911,96907.625,101850.6926,95696.1749,85626.0463,91383.5553,96004.3561,81727.5769,79232.38,77438.8203,97796.5697,98025.2705,97873.2116,1476718.888
39.8478,231.8411,176.4778,0,566,0,566,202.1302,566,291.1011,0,511.6552,566,113.6815,566,0,512.7862,177.8265,85.638,566,0,6.2889,305.5369,0,566,529.326,136.871,502.9318,117.4366,130.5829,168.2698,376.7318,89711.9546,87922.7833,95362.8344,84877.2098,106314.2702,95794.8635,98610.5005,101353.2813,94817.8743,90194.2635,84848.8223,97359.1886,104631.8747,83346.8906,96622.4424,92283.2428,1504052.297
439.0358,0,351.0706,88.6103,234.7907,376.909,219.0969,0,439.7996,96.4589,142.6168,566,566,373.7802,0,566,0,166.1855,433.2627,161.0268,0,251.8493,225.1376,444.985,320.5954,566,75.0714,105.2349,0,133.5557,0,209.6334,100073.1407,81427.5099,92336.9086,82799.0474,98070.4636,88172.035,81504.5976,91060.6758,90370.8319,92132.7495,88880.615,100951.2561,106383.1278,90929.6166,95019.6368,97485.6874,1477597.9
